Artist Name,Billboard top 10,Billboard #1,Albums sold,Singles sold,Avg. song per yr,Awards,Youtube views,Spotify listeners,Rating,Platinum Albums,Experiece
juicy j,1,1,0,27.5M,1,0,1.2B,5M,80,,
yo gotti,1,0,1.5M,17M,1,0,2.6B,4M,80,,
the game,2,0,2M,3.5M,1,0,2.8B,14M,80,,
nipsey hussle,0,0,2M,6.5M,1,2,2.1B,4M,80,,
plies,2,0,2M,4.5M,1,0,1.5B,4M,79,,
cypress hill,0,0,7.5M,1M,1,0,1.6B,5M,79,,
juvenile,1,1,7.5M,1.5M,1,0,684M,4M,79,,
method man,1,0,4.5M,1.5M,1,1,396M,2M,79,,
nle choppa,0,0,1.5M,17M,3,0,4.4B,14M,79,,
offset,2,0,500000,36.5M,4,0,948M,17M,79,,
ice spice,4,0,0,4.5M,4,0,"1,3B",12M,78,,
kris kross,1,1,5.5M,3.5M,2,0,289M,1M,78,,
run dmc,1,0,6M,3.5M,1,0,666M,4M,78,,
burna boy,0,0,0,1.5M,1,1,3.9B,58M,78,,
rema,1,0,500000,3M,1,0,2.5B,26M,78,,
Wu‐Tang Clan,0,0,9M,1.5M,2,0,1.2B,5M,77,,
saweetie,0,0,0,7.5M,1,0,1.7B,6M,77,,
pusha t,0,0,0,13M,1,0,388M,4M,77,,
da brat,2,0,2.5M,2.5M,1,0,145M,490000,77,,
est gee,0,0,500000,2.5M,4,0,1.3B,3M,77,,
Young M.A,0,0,0,5.5M,1,0,1.6B,4M,76,,
nore,1,0,1M,500000,1,0,277M,3M,76,,
queen latifah,0,0,1M,0,1,1,34M,1M,76,,
mc lyte,3,0,500000,3M,1,0,30M,334000,76,,
davido,0,0,0,1.5M,1,0,2.4B,11M,76,,
foxy brown,1,0,2.5M,1M,1,0,122M,887000,76,,
blueface,1,0,0,7M,1,0,601M,3M,76,,
glorilla,1,0,0,3.5M,2,0,2B,16M,75,,
bia,0,0,0,2M,1,0,336M,10M,75,,
dej loaf,0,0,0,5.5M,1,.,919M,4M,75,,
boosie badazz,1,0,0,1.5M,6,0,1.6B,3M,75,,
sexyy red,0,0,0,0,3,0,869M,17M,74,,
jim jones,1,0,0,1.5M,1,0,271M,784000,74,,
J.J. Fad,0,0,500000,1M,2,0,1.4M,332000,74,,
joe budden,0,0,0,500000,4,0,82M,1M,73,,
troy ave,0,0,0,500000,0,0,108M,500000,73,,
maino,0,0,0,1M,1,0,85M,1M,73,,
the sequence,0,0,0,500000,0,0,0,9900,71,,
